species_list,Site Name,Longitude,Latitude,Month,Year,total_tolerant_species,total_sensitive_species,total_resident_species,total_migrant_species,total_unique_species,total_bird_count
"['Barn Swallow', 'Black-crowned Night Heron', 'Black-winged Stilt', 'Brown Shrike', 'Chestnut Munia', 'Collared Kingfisher', 'Common Greenshank', 'Common Kingfisher', 'Common Redshank', 'Common Sandpiper', 'Crested Myna', 'Golden-bellied Gerygone', 'Great Egret', 'Little Egret', 'Oriental Reed Warbler', 'Pacific Golden-Plover', 'Philippine Pied-Fantail', 'Spotted Dove', 'Striated Grassbird', 'Little Heron', 'Whiskered Tern', 'Yellow-vented Bulbul', 'Zebra Dove']",Tanza,120.932254,14.681069,11,2014,18,5,13,10,23,1836
"['Barn Swallow', 'Eastern Cattle-Egret', 'Eurasian Moorhen', 'Crested Myna', 'Eurasian Tree Sparrow', 'Medium Egret', 'Long-tailed Shrike', 'Rock Pigeon', 'Striated Grassbird', 'White-browed Crake', 'White-breasted Waterhen', 'Whiskered Tern', 'Yellow-vented Bulbul']",N Luzon Expressway Servo,120.9646225,14.7609393,11,2014,11,2,10,3,13,81
"['Brown Shrike', 'Whiskered Tern', 'Yellow-vented Bulbul']","Fort Santiago, Manila",120.9709959,14.5932408,4,2014,2,1,1,2,3,65
['Blue Rock-Thrush'],"Fort Santiago, Manila",120.9709959,14.5932408,10,2014,0,1,0,1,1,1
"['Eurasian Tree Sparrow', 'Rock Pigeon', 'Yellow-vented Bulbul']",Fort Santiago,120.9718859,14.5931641,8,2014,3,0,3,0,3,20
"['Eurasian Tree Sparrow', 'Pacific Swallow', 'Rock Pigeon', 'Whiskered Tern']",Binodo - Intramuros,120.9746861,14.5953577,1,2014,4,0,3,1,4,49
"['Eurasian Tree Sparrow', 'Pacific Swallow', 'Rock Pigeon', 'Whiskered Tern']","Quintin Paredes Road, Binondo, Manila",120.9748681,14.5995738,1,2014,4,0,3,1,4,263
"['Arctic Warbler', 'Brown Shrike', 'Little Egret', 'Philippine Pied-Fantail', 'Philippine Pygmy Woodpecker', 'Nankeen Night Heron', 'Little Heron', 'Yellow-vented Bulbul', 'Zebra Dove']","National Capital Region (Manila), PH",120.9786129,14.5826697,10,2014,7,2,7,2,9,34
"['Asian Glossy Starling', 'Brown Shrike', 'Chestnut Munia', 'Common Kingfisher', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Gray Wagtail', 'House Swift', 'Medium Egret', 'Scaly-breasted Munia', 'Garden Sunbird', 'Philippine Pied-Fantail', 'Philippine Swiftlet', 'Philippine Pygmy Woodpecker', 'Rock Pigeon', 'Spotted Dove', 'Yellow-vented Bulbul', 'Zebra Dove']","Bayleaf, Muralla Street, Intramuros",120.978846,14.5899564,1,2014,14,4,14,4,18,61
"['Asian Glossy Starling', 'Brown Shrike', 'Chestnut Munia', 'Common Kingfisher', 'Eurasian Tree Sparrow', 'Golden-bellied Gerygone', 'Gray Wagtail', 'House Swift', 'Medium Egret', 'Scaly-breasted Munia', 'Garden Sunbird', 'Philippine Pied-Fantail', 'Philippine Swiftlet', 'Philippine Pygmy Woodpecker', 'Rock Pigeon', 'Spotted Dove', 'Yellow-vented Bulbul', 'Zebra Dove']","Bayleaf, Muralla Street",120.9789444,14.5899353,1,2014,14,4,14,4,18,74
"['Collared Kingfisher', 'Common Sandpiper', 'Little Egret', 'Nankeen Night Heron', 'Whiskered Tern']","Rizal Park, Manila",120.979234,14.58382,3,2014,5,0,3,2,5,33
['Philippine Pied-Fantail'],"Rizal Park, Manila",120.979234,14.58382,6,2014,1,0,1,0,1,2
