Species Name,Light Tolerance,Migratory Status
dark swiftlet sp.,Tolerant,Resident
Amethyst Brown-Dove,Sensitive,Resident
Japanese/Arctic/Kamchatka Leaf Warbler,Sensitive,Migratory
Arctic Warbler,Sensitive,Migratory
Kamchatka Leaf Warbler,Sensitive,Migratory
Japanese Leaf Warbler,Sensitive,Migratory
Asian Glossy Starling,Tolerant,Resident
Ashy Minivet,Sensitive,Migratory
Ashy Thrush,Sensitive,Resident
Asian Koel,Tolerant,Resident
Barred Rail,Tolerant,Resident
Barn Swallow,Tolerant,Migratory
Black-crowned Night Heron,Tolerant,Resident
Black-headed Gull,Tolerant,Migratory
Black-winged Stilt,Tolerant,Resident
Black-faced Spoonbill,Sensitive,Migratory
Black-naped Oriole,Tolerant,Resident
Brown-breasted Kingfisher,Tolerant,Resident
Brown-headed Thrush,Sensitive,Migratory
Brown Shrike,Sensitive,Migratory
Blue-tailed Bee-eater,Sensitive,Migratory
Buff-banded Rail,Tolerant,Resident
Blue Rock-Thrush,Sensitive,Migratory
Eastern Cattle-Egret,Tolerant,Resident
Chestnut Munia,Tolerant,Resident
Chinese Egret,Sensitive,Migratory
Clamorous Reed Warbler,Tolerant,Resident
Collared Kingfisher,Tolerant,Resident
Common Greenshank,Tolerant,Migratory
Common Kingfisher,Sensitive,Migratory
Eurasian Moorhen,Tolerant,Resident
Indian Peafowl,Tolerant,Resident
Common Redshank,Sensitive,Migratory
Common Sandpiper,Tolerant,Migratory
Coppersmith Barbet,Tolerant,Resident
Crested Myna,Tolerant,Resident
Pachyglossa/Dicaeum sp.,Sensitive,Resident
pigeon/dove sp.,Tolerant,Resident
Elegant Tit,Tolerant,Resident
Asian Emerald Dove,Sensitive,Resident
Eurasian Tree Sparrow,Tolerant,Resident
Eyebrowed Thrush,Sensitive,Migratory
Golden-bellied Gerygone,Tolerant,Resident
Gray Heron,Sensitive,Migratory
Great Egret,Sensitive,Migratory
Gray Parrot,Tolerant,Resident
Gray Wagtail,Sensitive,Migratory
Guaiabero,Sensitive,Resident
Gray-backed Tailorbird,Tolerant,Resident
Gray-rumped Swiftlet,Tolerant,Resident
Gray-streaked Flycatcher,Sensitive,Migratory
Gray-tailed Tattler,Sensitive,Migratory
heron sp.,Tolerant,Resident
Medium Egret,Sensitive,Migratory
Javan Pond-Heron,Tolerant,Resident
Java Sparrow,Tolerant,Resident
Kentish Plover,Tolerant,Migratory
Philippine Jungle Crow,Tolerant,Resident
Siberian Sand-Plover,Sensitive,Migratory
Little Ringed Plover,Tolerant,Migratory
Little Egret,Tolerant,Resident
Little Grebe,Sensitive,Resident
Long-tailed Shrike,Tolerant,Resident
Long-toed Stint,Sensitive,Migratory
Lowland White-eye,Tolerant,Resident
Mangrove Blue Flycatcher,Sensitive,Resident
Marsh Sandpiper,Sensitive,Migratory
Scaly-breasted Munia,Tolerant,Resident
Garden Sunbird,Tolerant,Resident
Orange-bellied Flowerpecker,Sensitive,Resident
Oriental Cuckoo,Sensitive,Migratory
Paddyfield Pipit,Tolerant,Resident
Osprey,Sensitive,Migratory
Pacific Swallow,Tolerant,Resident
Pacific Golden-Plover,Tolerant,Migratory
Ameline Swiftlet,Tolerant,Resident
parrot sp.,Tolerant,Resident
Peregrine Falcon,Tolerant,Migratory
Philippine Cuckoo-Dove,Sensitive,Resident
Philippine Hawk-Cuckoo,Sensitive,Resident
Philippine Bulbul,Tolerant,Resident
Philippine Coucal,Tolerant,Resident
Philippine Hanging-Parrot,Tolerant,Resident
Philippine Magpie-Robin,Tolerant,Resident
Philippine Nightjar,Sensitive,Resident
Philippine Pied-Fantail,Tolerant,Resident
Philippine Swiftlet,Tolerant,Resident
Philippine Pygmy Woodpecker,Tolerant,Resident
Philippine Scops-Owl,Sensitive,Resident
Pied Bushchat,Tolerant,Resident
Pied Triller,Tolerant,Resident
Plain Bush-hen,Sensitive,Resident
Plaintive Cuckoo,Tolerant,Resident
plover sp.,Sensitive,Migratory
Purple Heron,Sensitive,Resident
Pygmy Flowerpecker,Tolerant,Resident
rail/crake sp.,Tolerant,Resident
Red Collared-Dove,Tolerant,Resident
Red Junglefowl,Sensitive,Resident
Red-necked Stint,Sensitive,Migratory
Red-keeled Flowerpecker,Tolerant,Resident
Rock Pigeon,Tolerant,Resident
Rose-ringed Parakeet,Tolerant,Resident
Nankeen Night Heron,Tolerant,Resident
Salmon-crested Cockatoo,Sensitive,Resident
White's Thrush,Sensitive,Migratory
snipe sp.,Sensitive,Migratory
Spotted Buttonquail,Sensitive,Resident
Spotted Dove,Tolerant,Resident
Spotted Kingfisher,Sensitive,Resident
Striated Grassbird,Tolerant,Resident
Little Heron,Tolerant,Resident
Sulphur-crested Cockatoo,Sensitive,Resident
swallow sp.,Tolerant,Resident
swift sp.,Tolerant,Resident
swiftlet sp.,Tolerant,Resident
tailorbird sp.,Tolerant,Resident
Tawny Grassbird,Tolerant,Resident
wagtail sp.,Sensitive,Migratory
Western Hooded Pitta,Sensitive,Migratory
White-browed Crake,Sensitive,Resident
Buzzing Flowerpecker,Sensitive,Resident
White-breasted Waterhen,Tolerant,Resident
White-breasted Woodswallow,Tolerant,Resident
White-eared Brown-Dove,Sensitive,Resident
white egret sp.,Tolerant,Resident
Eurasian Whimbrel,Sensitive,Migratory
Whiskered Tern,Tolerant,Migratory
White-winged Tern,Tolerant,Migratory
Wood Sandpiper,Tolerant,Migratory
Arctic/Kamchatka Leaf Warbler,Sensitive,Migratory
Yellow Bittern,Sensitive,Resident
Yellow-vented Bulbul,Tolerant,Resident
Zebra Dove,Tolerant,Resident
Asian Palm Swift,Tolerant,Resident
Azure-breasted Pitta,Sensitive,Resident
Black-and-cinnamon Fantail,Sensitive,Resident
Philippine Honey-buzzard,Sensitive,Resident
Black-and-white Triller,Tolerant,Resident
Black-chinned Fruit-Dove,Sensitive,Resident
Blue-crowned Racquet-tail,Sensitive,Resident
bee-eater sp.,Sensitive,Migratory
Black-bibbed Cicadabird,Sensitive,Resident
Blue-capped Kingfisher,Sensitive,Resident
Black-faced Coucal,Sensitive,Resident
Black-naped Monarch,Sensitive,Resident
Mindanao Blue-Fantail,Sensitive,Resident
Brown Tit-Babbler,Sensitive,Resident
Buff-spotted Flameback,Sensitive,Resident
Celestial Monarch,Sensitive,Resident
Chocolate Boobook,Sensitive,Resident
Philippine Jungle Flycatcher,Sensitive,Resident
Coleto,Tolerant,Resident
Crested Goshawk,Tolerant,Resident
Everett's Scops-Owl,Sensitive,Resident
Everett's White-eye,Tolerant,Resident
Great Eared-Nightjar,Sensitive,Resident
Green Imperial-Pigeon,Sensitive,Resident
Gray-faced Buzzard,Sensitive,Migratory
Short-tailed Drongo,Sensitive,Resident
Handsome Sunbird,Sensitive,Resident
hawk sp.,Tolerant,Resident
Little Bronze-Cuckoo,Tolerant,Resident
Little Slaty Flycatcher,Sensitive,Resident
Metallic-winged Sunbird,Sensitive,Resident
Mindanao Boobook,Sensitive,Resident
Giant Scops-Owl,Sensitive,Resident
Mindanao Hornbill,Sensitive,Resident
Negros Leaf Warbler,Sensitive,Resident
Naked-faced Spiderhunter,Sensitive,Resident
Olive-backed Flowerpecker,Sensitive,Resident
Oriental Honey-buzzard,Sensitive,Migratory
Orange-tufted Spiderhunter,Sensitive,Resident
Pink-bellied Imperial-Pigeon,Sensitive,Resident
Philippine Drongo-Cuckoo,Sensitive,Resident
Philippine Fairy-bluebird,Sensitive,Resident
Philippine Falconet,Tolerant,Resident
Philippine Frogmouth,Sensitive,Resident
Philippine Leafbird,Sensitive,Resident
Philippine Spinetail,Tolerant,Resident
Philippine Oriole,Sensitive,Resident
Philippine Trogon,Sensitive,Resident
Philippine Leaf Warbler,Sensitive,Resident
Philippine Serpent-Eagle,Sensitive,Resident
Pinsker's Hawk-Eagle,Sensitive,Resident
Gray-throated Sunbird,Tolerant,Resident
Philippine Green-Pigeon,Sensitive,Resident
Purple Needletail,Tolerant,Migratory
Purple-throated Sunbird,Sensitive,Resident
Mindanao Pygmy-Babbler,Sensitive,Resident
Pygmy Swiftlet,Tolerant,Resident
Philippine Pitta,Sensitive,Resident
Ridgetop Swiftlet,Tolerant,Resident
Rusty-crowned Babbler,Sensitive,Resident
Rufous Hornbill,Sensitive,Resident
Rufous-fronted Tailorbird,Sensitive,Resident
Rufous-lored Kingfisher,Sensitive,Resident
Rufous Paradise-Flycatcher,Sensitive,Resident
Scarlet Minivet,Sensitive,Resident
Short-crested Monarch,Sensitive,Resident
Southern Silvery-Kingfisher,Sensitive,Resident
Stripe-sided Rhabdornis,Sensitive,Resident
Striated Wren-Babbler,Sensitive,Resident
Violet Cuckoo,Sensitive,Resident
Wattled Broadbill,Sensitive,Resident
White-bellied Munia,Tolerant,Resident
White-browed Tailorbird,Tolerant,Resident
White-bellied Woodpecker,Sensitive,Resident
Writhed Hornbill,Sensitive,Resident
Yellow-breasted Fruit-Dove,Sensitive,Resident
Yellow-bellied Whistler,Sensitive,Resident
Yellowish Bulbul,Tolerant,Resident
Yellow-wattled Bulbul,Tolerant,Resident
Pink-necked Green-Pigeon,Tolerant,Resident
Red-footed Booby,Tolerant,Resident
Wandering Whistling-Duck,Tolerant,Resident
