AviLight Statistical Reports Export
Generated At,2026-04-19 16:19:39 UTC
Area,All Areas
Trend Range,2014 - 2025
Snapshot,2025-01

========================================================================
ECOLOGICAL IMPACT - HISTORICAL TRENDS
========================================================================
Year,Bird Richness,ALAN (VIIRS),NDVI,LST,Precipitation
2014,109,24.35485050089435,0.2770050750015621,43.51050588235294,2052.588853542188
2015,132,25.74697978121029,0.28743849249075115,43.32401764705883,1732.5173364617604
2016,137,25.924680862600525,0.2711005343766883,44.85586470588236,2179.355231298618
2017,141,26.153259521872883,0.28286155707146143,43.72598235294118,2502.3839680575356
2018,140,27.58408078709518,0.2658999885558625,43.187841176470585,2296.705313548008
2019,150,29.005105400573772,0.26427170873566386,43.27980588235294,1964.261128156053
2020,164,26.16918195259347,0.2801200869858246,44.888629411764704,2269.626381173867
2021,172,26.135808597225825,0.27592665322373705,44.419900000000005,2052.00733352326
2022,190,28.237110537547178,0.26983924201592363,43.094711764705885,2361.960855424753
2023,204,28.205755581700643,0.2786290033880371,42.06474117647059,2219.4084924769486
2024,199,30.599480272492233,0.2761706746640378,42.629788235294114,2459.508576022414
2025,197,31.80571602259988,0.2804794090386922,43.12190588235295,2534.4021259050924

========================================================================
ECOLOGICAL IMPACT - CORRELATION MATRIX
========================================================================
Metric,Pearson r
ALAN vs Richness,-0.0271
NDVI vs Richness,0.2895
LST vs Richness,0.1075
Precipitation vs Richness,0.1587

========================================================================
ECOLOGICAL IMPACT - MIGRATION STATUS DISTRIBUTION
========================================================================
Category,Count
Migratory,37
Resident,88
Unclassified,0

========================================================================
ECOLOGICAL IMPACT - LIGHT TOLERANCE DISTRIBUTION
========================================================================
Category,Count
Sensitive,47
Tolerant,78
Unclassified,0

========================================================================
ECOLOGICAL IMPACT - ALAN VS RICHNESS
========================================================================
Site,Area,X,Richness
Caloocan,Caloocan,14.9351,42
Las Piñas,Las Piñas,19.2981,21
Makati,Makati,44.4308,39
Malabon,Malabon,18.9817,16
Mandaluyong,Mandaluyong,39.821,23
Manila,Manila,51.4294,38
Marikina,Marikina,21.5588,1
Muntinlupa,Muntinlupa,20.9031,
Navotas,Navotas,13.8866,
Parañaque,Parañaque,34.0353,73
Pasay,Pasay,54.6484,29
Pasig,Pasig,36.2831,31
Pateros,Pateros,32.4703,
Quezon City,Quezon City,24.4084,92
San Juan,San Juan,38.855,34
Taguig,Taguig,29.6295,25
Valenzuela,Valenzuela,16.9789,36

========================================================================
ECOLOGICAL IMPACT - NDVI VS RICHNESS
========================================================================
Site,Area,X,Richness
Caloocan,Caloocan,0.3331,42
Las Piñas,Las Piñas,0.3782,21
Makati,Makati,0.253,39
Malabon,Malabon,0.2731,16
Mandaluyong,Mandaluyong,0.2444,23
Manila,Manila,0.1259,38
Marikina,Marikina,0.3463,1
Muntinlupa,Muntinlupa,0.4803,
Navotas,Navotas,0.135,
Parañaque,Parañaque,0.3212,73
Pasay,Pasay,0.2579,29
Pasig,Pasig,0.2488,31
Pateros,Pateros,0.2468,
Quezon City,Quezon City,0.379,92
San Juan,San Juan,0.1977,34
Taguig,Taguig,0.3785,25
Valenzuela,Valenzuela,0.2773,36

========================================================================
ECOLOGICAL IMPACT - LST VS RICHNESS
========================================================================
Site,Area,X,Richness
Caloocan,Caloocan,35.4455,42
Las Piñas,Las Piñas,30.9998,21
Makati,Makati,31.6204,39
Malabon,Malabon,32.8041,16
Mandaluyong,Mandaluyong,32.561,23
Manila,Manila,33.2872,38
Marikina,Marikina,34.5482,1
Muntinlupa,Muntinlupa,30.5393,
Navotas,Navotas,31.5857,
Parañaque,Parañaque,30.9411,73
Pasay,Pasay,31.3898,29
